Average hand positions in 3D per letter
========================================

[A]
landmark,x,y,z
11,0.003070,-1.090847,-0.662580
12,0.005463,-0.748545,-0.599355
13,-0.005112,-1.262412,-0.111728
14,-0.011332,-1.449084,-0.578075
15,-0.007060,-0.896544,-0.524590
16,-0.002554,-0.616987,-0.344648
17,-0.017416,-1.106101,-0.144317
18,-0.021064,-1.274598,-0.447490
19,-0.016696,-0.878521,-0.392628
20,-0.013279,-0.683180,-0.254903

[U]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.004222,-0.100268,-0.112977
2,0.005352,-0.279368,-0.146446
3,0.002096,-0.380637,-0.173002
4,-0.001666,-0.408115,-0.193356
5,0.003324,-0.479755,-0.051731
6,0.002854,-0.681553,-0.109991
7,0.002367,-0.809496,-0.150066
8,0.001532,-0.919559,-0.175632
9,-0.000157,-0.481848,-0.045068
10,-0.000397,-0.702084,-0.120953
11,-0.000497,-0.852651,-0.174858
12,-0.000948,-0.978322,-0.197525
13,-0.003580,-0.435907,-0.053807
14,-0.005917,-0.555185,-0.191211
15,-0.004144,-0.413251,-0.229164
16,-0.002681,-0.304447,-0.208973
17,-0.005981,-0.362055,-0.068990
18,-0.007472,-0.451373,-0.184488
19,-0.005863,-0.358604,-0.198541
20,-0.004154,-0.279037,-0.179502

[V]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.005196,-0.097753,-0.110675
2,0.005429,-0.263133,-0.149503
3,-0.000558,-0.352774,-0.179461
4,-0.007015,-0.384773,-0.204186
5,0.005308,-0.478436,-0.067200
6,0.007440,-0.675567,-0.133654
7,0.007713,-0.806320,-0.178720
8,0.007999,-0.916879,-0.206052
9,0.000160,-0.475928,-0.062136
10,-0.001239,-0.691622,-0.143629
11,-0.003137,-0.838951,-0.199634
12,-0.004809,-0.965125,-0.222172
13,-0.004519,-0.418042,-0.070245
14,-0.007487,-0.508479,-0.207025
15,-0.005476,-0.384530,-0.243733
16,-0.003258,-0.295917,-0.223241
17,-0.007910,-0.329161,-0.084228
18,-0.009618,-0.399099,-0.197989
19,-0.007352,-0.314038,-0.206876
20,-0.004743,-0.245007,-0.181280

[W]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.001027,-0.082767,-0.126635
2,0.001063,-0.245379,-0.160334
3,-0.000741,-0.353870,-0.169119
4,-0.001914,-0.402505,-0.178019
5,0.004250,-0.471865,-0.088343
6,0.005395,-0.676019,-0.134453
7,0.005749,-0.803064,-0.176334
8,0.006249,-0.917302,-0.209534
9,0.003201,-0.489764,-0.069932
